,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,.500,-5.71,-2.26,,8,8,,10,5,,5,10,,2260,2250,,1290,819,1845,.444,146,483,.302,476,666,.715,355,1081,421,331,94,476,670
2,Air Force,32,4,28,.125,-8.00,3.72,,1,19,,3,13,,0,14,,1982,2357,,1290,680,1616,.421,259,783,.331,363,572,.635,236,956,428,181,91,433,571
3,Akron NCAA,35,28,7,.800,3.34,-3.64,,17,1,,16,0,,8,4,,2941,2627,,1405,1060,2260,.469,376,1038,.362,445,590,.754,414,1347,621,267,131,414,623
4,Alabama NCAA,34,26,8,.765,25.24,15.57,,13,5,,12,3,,9,3,,3097,2768,,1370,1060,2184,.485,350,1004,.349,627,877,.715,431,1459,580,207,152,434,644
5,Alabama A&M,32,10,22,.313,-20.50,-9.91,,6,12,,8,9,,2,12,,2337,2521,,1300,795,1966,.404,257,807,.318,490,738,.664,447,1172,432,266,131,513,687
6,Alabama State NCAA,36,20,16,.556,-8.88,-8.08,,12,6,,8,3,,6,10,,2630,2607,,1445,927,2290,.405,320,978,.327,456,665,.686,417,1303,418,285,101,327,662
7,Albany (NY),33,17,16,.515,-10.09,-8.49,,8,8,,6,7,,8,8,,2463,2437,,1335,901,2044,.441,238,736,.323,423,591,.716,392,1117,414,273,77,357,575
8,Alcorn State,32,11,21,.344,-13.95,-6.85,,11,7,,6,3,,5,17,,2081,2307,,1285,754,1833,.411,171,538,.318,402,561,.717,377,1087,329,211,86,418,544
9,American NCAA,35,22,13,.629,-7.55,-6.76,,13,5,,14,2,,5,10,,2406,2370,,1420,840,1893,.444,299,859,.348,427,566,.754,270,1057,441,229,66,389,625
10,Appalachian State,31,17,14,.548,-2.46,-3.70,,10,8,,10,4,,5,8,,2102,1970,,1245,738,1692,.436,240,697,.344,386,593,.651,304,1145,389,171,114,335,414
11,Arizona NCAA,35,23,12,.657,23.23,13.40,,14,6,,13,3,,6,5,,2872,2528,,1410,1016,2136,.476,244,741,.329,596,766,.778,431,1399,575,267,155,406,582
12,Arizona State,32,13,19,.406,11.09,13.63,,4,16,,5,9,,3,8,,2366,2447,,1295,804,1836,.438,281,786,.358,477,659,.724,282,1093,412,172,142,395,543
13,Arkansas NCAA,34,21,13,.618,16.61,11.11,,8,10,,14,4,,4,6,,2607,2420,,1365,924,1987,.465,241,730,.330,518,703,.737,316,1199,490,262,192,395,546
14,Arkansas State,35,25,10,.714,5.89,-2.62,,13,5,,14,2,,8,5,,2795,2463,,1410,962,2248,.428,331,1017,.325,540,743,.727,468,1428,502,259,158,371,644
15,Arkansas-Pine Bluff,31,6,25,.194,-24.25,-8.36,,3,15,,4,8,,2,17,,2242,2602,,1240,834,1838,.454,225,696,.323,349,589,.593,306,1053,452,220,66,449,588
16,Army,31,16,15,.516,-12.66,-7.45,,10,8,,12,4,,4,11,,2268,2327,,1270,842,1911,.441,253,805,.314,331,483,.685,312,1082,438,207,68,319,482
17,Auburn NCAA,34,29,5,.853,28.73,14.31,,15,3,,13,2,,8,2,,2850,2360,,1365,1007,2091,.482,314,859,.366,522,713,.732,399,1269,560,232,207,317,631
18,Austin Peay,33,14,19,.424,-9.41,-3.71,,8,10,,8,5,,4,13,,2362,2472,,1335,836,1980,.422,280,810,.346,410,570,.719,326,1085,416,229,87,327,589
19,Ball State,31,14,17,.452,-7.80,-6.34,,7,11,,8,7,,4,9,,2336,2300,,1250,781,1718,.455,221,641,.345,553,785,.704,292,1101,407,154,67,363,507
20,Baylor NCAA,34,20,14,.588,19.35,13.59,,10,10,,13,3,,3,9,,2598,2354,,1385,921,2057,.448,286,821,.348,470,630,.746,436,1224,495,262,98,373,554
21,Bellarmine,31,5,26,.161,-15.00,-4.62,,2,16,,5,10,,0,16,,2252,2484,,1250,814,1743,.467,281,776,.362,343,444,.773,205,909,439,197,53,371,522
22,Belmont,33,22,11,.667,2.04,-0.03,,13,7,,11,5,,9,4,,2618,2529,,1325,945,2033,.465,347,905,.383,381,530,.719,317,1142,568,229,104,371,514
23,Bethune-Cookman,33,17,16,.515,-10.12,-6.61,,13,5,,8,2,,7,12,,2265,2381,,1320,800,1870,.428,202,634,.319,463,671,.690,334,1175,423,220,121,448,531
24,Binghamton,32,15,17,.469,-13.72,-9.11,,7,9,,8,4,,5,12,,2233,2287,,1295,800,1735,.461,227,633,.359,404,583,.693,284,1149,415,153,96,431,525
25,Boise State,34,24,10,.706,13.60,5.57,,14,6,,13,2,,6,5,,2546,2246,,1365,862,1878,.459,248,799,.310,572,736,.777,361,1235,487,182,90,379,546
26,Boston College,31,12,19,.387,-0.13,5.26,,4,16,,9,8,,0,10,,2182,2349,,1275,783,1811,.432,206,597,.345,410,570,.719,318,1065,355,162,121,368,571
27,Boston University,32,16,16,.500,-10.89,-8.28,,10,8,,12,4,,3,12,,2148,2191,,1300,768,1752,.438,250,740,.338,362,546,.663,349,1124,381,194,83,423,515
28,Bowling Green State,32,14,18,.438,-9.41,-5.98,,8,10,,8,8,,5,8,,2352,2366,,1280,815,1857,.439,255,745,.342,467,626,.746,297,1100,359,232,102,392,556
29,Bradley,35,27,8,.771,6.42,0.07,,15,5,,14,3,,8,3,,2683,2401,,1420,941,1955,.481,334,840,.398,467,624,.748,293,1209,507,233,135,399,586
30,Brigham Young NCAA,34,25,9,.735,19.78,9.72,,14,6,,15,2,,6,5,,2752,2410,,1385,977,2024,.483,360,972,.370,438,622,.704,380,1277,581,242,108,412,548
31,Brown,27,14,13,.519,-5.04,-4.12,,6,8,,8,6,,6,7,,1950,1933,,1095,723,1613,.448,221,659,.335,283,448,.632,296,979,398,160,142,314,424
32,Bryant NCAA,35,23,12,.657,-1.98,-6.82,,14,2,,12,3,,9,7,,2862,2598,,1405,1054,2304,.457,271,814,.333,483,676,.714,465,1439,522,233,210,415,548
33,Bucknell,33,18,15,.545,-5.26,-6.14,,13,5,,12,4,,6,10,,2443,2414,,1380,862,1850,.466,268,759,.353,451,679,.664,281,1117,448,219,106,433,587
34,Buffalo,31,9,22,.290,-15.04,-3.80,,4,14,,6,9,,3,13,,2226,2508,,1240,776,1821,.426,243,800,.304,431,616,.700,286,1069,419,209,109,451,517
35,Butler,33,14,19,.424,10.26,10.23,,6,14,,9,8,,2,9,,2437,2436,,1325,830,1822,.456,273,745,.366,504,679,.742,283,1155,461,134,93,365,444
36,Cal Poly,35,16,19,.457,-2.26,-0.47,,8,12,,9,5,,5,13,,2873,2901,,1420,1011,2187,.462,403,1114,.362,448,585,.766,352,1221,535,275,75,550,630
37,Cal State Bakersfield,33,14,19,.424,-5.73,-2.05,,8,12,,9,6,,4,11,,2434,2430,,1330,851,1944,.438,218,573,.380,514,666,.772,424,1173,334,225,92,416,671
38,Cal State Fullerton,32,6,26,.188,-15.74,0.59,,1,19,,4,11,,2,15,,2024,2475,,1280,683,1701,.402,156,575,.271,502,677,.742,303,1064,288,170,62,474,568
39,Cal State Northridge,33,22,11,.667,2.02,-3.17,,14,6,,10,3,,10,7,,2650,2406,,1325,952,2035,.468,219,634,.345,527,727,.725,423,1322,539,250,95,452,679
40,California,33,14,19,.424,5.59,6.81,,6,14,,11,6,,2,11,,2494,2534,,1360,838,2002,.419,238,756,.315,580,778,.746,443,1238,345,208,122,383,544
41,California Baptist,32,17,15,.531,-1.03,-2.24,,9,7,,11,5,,4,8,,2280,2241,,1295,818,1915,.427,213,671,.317,431,569,.757,384,1152,373,212,86,386,551
42,Campbell,32,15,17,.469,-5.18,-4.75,,10,8,,8,6,,7,10,,2246,2169,,1285,792,1804,.439,240,745,.322,422,547,.771,264,1016,430,220,98,335,516
